creator_name,total_downloads,total_likes,model_count
Bambu Lab,330992,52252,4
SabreDesign,261780,77417,12
Michal,235993,36332,2
SOFUN_ART,234820,37634,3
mcgybeer,226424,38152,3
Saber3D,206188,31446,1
Tieq,185695,35723,3
Austin Vojta,151950,22851,1
AU3D,145847,31728,3
Mr_Andre,129130,29460,4
MingGY,128678,46979,6
NUKDDD,127028,30649,5
FilliFuu,125129,39670,5
Sevro,118124,56461,11
uhltimate,111868,20250,1
squinn,110709,26808,2
angrelou,106504,50035,7
filete3d,106411,21073,2
yekta,104225,28269,4
Koolm,102636,51760,3
PinkyWings,95019,22359,3
fifindr,94898,29619,10
MakerVerse Designs,94659,37032,5
Makkuro,92780,9222,1
K-Studio.ca,91709,30426,1
YogiTech,91417,22064,2
agepbiz,85542,27431,2
iczfirz,84504,21597,1
Hugo,84156,23912,3
ngprint,83594,13879,2
BigDeX,83429,12239,1
TLPOD,81548,19820,2
Stampa 3D AV Studio,78866,20867,3
planes01,77102,37122,4
Meister Edel,76882,17381,1
KL Worx,75078,30271,4
LeHa Design,75053,24146,1
Caleb Wride,72983,17152,1
Meyui,72177,35037,3
Maker Making,71255,16664,1
kennyklak,71245,26001,1
ilya91,70988,20777,1
Stag 3D,70633,32112,5
Fletch,70365,25894,3
Smoggy3D,69977,30256,6
model lover,69741,37136,7
K2 Tech Designs,69017,12232,1
mgm86,67916,20730,2
pozsar,65714,35801,6
RJ Design,65195,13516,1
